identificador|identificador_original|tipo_padrao|nome|identificador_situacao
a9f295c1094e235ef20d2d858b26a62427336c03143bad918bd4c655843db22f|Nome: Pagamento Único|False|Pagamento Único|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
ac4490774a949163044c04242a4179780705e685ac481d9f71130987c322c829|Nome: Parcelas Constantes c/ Fator Atuarial Anual|False|Parcelas Constantes c/ Fator Atuarial Anual|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
41d2f3b53be4cf1faab26cbcc53753836780a736e86a8d1ff182dcf465d127bc|Nome: Percentual Sobre Saldo Fixo|False|Percentual Sobre Saldo Fixo|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
e98024677be4e4920637a016962cb2e1b8a9769b88dd19e851280ce81d527580|Nome: Renda em Reais com Alteração|False|Renda em Reais com Alteração|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
27eca83fe687781a09e77bd048f52b05ec7483671872ad219a74f4a2c77e0fb0|Nome: Parcelas Constantes c/ Fator Atuarial|False|Parcelas Constantes c/ Fator Atuarial|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
1c0b744137c5f1acd4c8ae8c84a47103603c47eb5c79c92431f65af4f0189f63|Nome: Prazo Certo em Reais|False|Prazo Certo em Reais|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
788d6016b0f2ee539ed55940eaf83b6ceccda434473cea2bdc7c357031a5a7d8|Nome: Renda em Reais|False|Renda em Reais|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
cb91146e7318e49ce6dfaa699976fa49433e936806ac7c3b9d4773105c363444|Nome: Prazo Certo Recalculo Mensal|False|Prazo Certo Recalculo Mensal|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
5a9714cbeb9188d528d90aafecfdaa52dbf9c1367cea93fbd28d52cbb972c631|Nome: Renda Vitalícia|False|Renda Vitalícia|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
6b0029b4db8db808cc5966982faf43de3b7ae1030dbb7d22dac08af2167a7577|Nome: Prazo Certo em Reais Decrescente|False|Prazo Certo em Reais Decrescente|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
8b09198f2df2cd393627071b4c46bafb34e1dc3de4dee83d28fbe5b0e96f6b64|Nome: Parcelas Constantes|False|Parcelas Constantes|6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
