identificador|identificador_original|identificador_plano|identificador_tipo_patrocinadora|razao_social|nome_fantasia|identificador_pessoa|documento|identificador_tipo_documento|identificador_matriz|inicio_vigencia|final_vigencia
6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b|Código do Empregador: 6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEFONICA BRASIL SA|TELEFONICA BRASIL SA||02558157000162|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce|Código do Empregador: 4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|A. TELECOM S/A|A. TELECOM S/A||03498897000113|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a|Código do Empregador: 4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|CELULAR CRT S/A|CELULAR CRT S/A||03010016000173|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d|Código do Empregador: ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEFÔNICA DATA S/A|TELEFÔNICA DATA S/A||04027547000131|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683|Código do Empregador: e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEFONICA SERVICOS EMPRESARIAIS DO BRASIL LTDA|TELEFONICA SERVICOS EMPRESARIAIS DO BRASIL LTDA||04000582000167|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451|Código do Empregador: 7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|VISAO PREV SOCIEDADE DE PREVIDENCIA COMPLEMENTAR|VISAO PREV SOCIEDADE DE PREVIDENCIA COMPLEMENTAR||07205215000198|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3|Código do Empregador: 2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELERGIPE CELULAR|TELERGIPE CELULAR||02349167000198|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7|Código do Empregador: 19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEBAHIA CELULAR|TELEBAHIA CELULAR||02331879000180|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5|Código do Empregador: 4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELEST CELULAR|TELEST CELULAR||02325945000109|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8|Código do Empregador: 4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8||b8f56a424902b6d373a1f8273e4be2f8f51b86122ab69281bae5611d4c460768|TELERJ CELULAR|TELERJ CELULAR||02330506000194|9d10d4e4e89698ade9e65bd118a67aec6ad4a284f0b02c85c423056b20657000||01/12/2023|
